Cruise	Station	Latitude	Longitude	Depth	Potential Temperature	Salinity	??	O2	[Cr]	?53Cr	?53Cr	NO3	PO4	Si(OH)4	Water Mass
											2SEM				
		?N	?E	M	?C		kg m-3	µmol kg-1	nmol kg-1	‰	‰	µmol kg-1	µmol kg-1	µmol kg-1	
GP13	33	-32.5	185	4000	0.88	34.72	28.16	209	4.13	0.88	0.03	32.2	2.23	117	LCDW
GP13	33	-32.5	185	5000	0.62	34.71	28.2	216	4.11	0.91	0.03	32.3	2.25	124	LCDW
GP13	33	-32.5	185	5400	0.61	34.71	28.2	217	4.1	0.91	0.03	32.3	2.26	125	LCDW
M77/4	78	-14	-77.06	1500	2.86	34.6	27.78	83.7	5.09	0.81	0.04	NA	NA	NA	PDW
M77/4	78	-14	-77.06	2000	2.15	34.64	27.9	104	5.26	0.72	0.04	NA	NA	NA	PDW
M77/4	78	-14	-77.06	2500	1.71	34.67	27.98	132	5.47	0.74	0.03	NA	NA	NA	LCDW
M77/4	78	-14	-77.06	3000	1.55	34.68	28.02	131	5.57	0.69	0.03	NA	NA	NA	LCDW
Line P 2012-13	P26	50	-145	2500	1.52	34.63	27.99	81.8	4.46	0.86	0.03	40.6	2.71	169	PDW
Line P 2012-13	P26	50	-145	3000	1.35	34.66	28.04	107	4.5	0.87	0.04	39	2.59	167	LCDW
Line P 2012-13	P26	50	-145	3500	1.23	34.67	28.07	124	4.52	0.84	0.03	38.2	2.51	166	LCDW
Line P 2012-13	P26	50	-145	4000	1.18	34.68	28.08	133	4.54	0.83	0.05	37.5	2.5	166	LCDW
DY110	62	-41.9	-35.43	400	4.87	34.2	27.21	250	2.92	0.96	0.03	NA	NA	NA	AAIW
DY110	62	-41.9	-35.43	600	3.76	34.18	27.33	243	2.92	0.89	0.03	NA	NA	NA	AAIW
DY110	60	-40.36	-31.04	400	5.27	34.22	27.17	246	3.09	0.92	0.03	NA	NA	NA	AAIW
DY110	60	-40.36	-31.04	600	4.06	34.17	27.28	251	3.22	1.01	0.02	NA	NA	NA	AAIW
DY110	45	-10.67	-25.01	700	4.64	34.42	27.41	171	3.17	0.97	0.03	NA	NA	NA	AAIW
DY110	40	-8.41	-24.98	800	4.64	34.47	27.45	149	3.25	0.95	0.03	NA	NA	NA	AAIW
DY110	33	1.68	-25.01	800	4.83	34.55	27.49	144	2.9	1.07	0.04	NA	NA	NA	AAIW
