"ref" "Longitude" "Latitude" "Depth" "Station" "d53Cr" "Cr (ng/kg)" "Salinity" "O2 (ml/L)" "Cr [nmol_kg]" "Cruise" "Cast" "Sample ID" "neutral_density" "Potential Temperature" "NO3 + NO2" "Cr [ng_kg]" "NO3" "2 SEM" "Cr(III)" "Cr(III) error" "%Cr(III)" "%Cr(III) error" "Cr(VI) + CR(III)NR" "Cr(VI) + CR(III)NR error" "Event" "Elevation [m]" "TPM [mg/l] (Filtration)" "Mn2+ [µg/l] (total dissolved, Atomic absor...)" "Mn2+ [µg/l] (dissolved, Atomic absorption ...)" "Mn part [ng/l] (Atomic absorption spectrometr...)" "Fe [µg/l] (dissolved, Atomic absorption ...)" "Fe [µg/l] (particulate, Atomic absorptio...)" "Cr [µg/l] (dissolved, Atomic absorption ...)" "Cr [µg/l] (particulate, Atomic absorptio...)" "Cu [µg/l] (dissolved, Atomic absorption ...)" "Cu [µg/l] (particulate, Atomic absorptio...)" "Ni [µg/l] (dissolved, Atomic absorption ...)" "Ni [µg/l] (particulate, Atomic absorptio...)" "Co [µg/l] (dissolved, Atomic absorption ...)" "Co [µg/l] (particulate, Atomic absorptio...)" "Cd [µg/l] (dissolved, Atomic absorption ...)" "Cd [µg/l] (particulate, Atomic absorptio...)" "CrTOT (nM)" "dCrTOT53 (‰)" "2 s.d. (‰)" "O2" "error53Cr" "PO4" "Si(OH)4" "Water Mass" "date_time [UTC]" "trace_metal_rosette_cast_number" "ace_event_number" "ace_sample_number" "internal_error [‰]"
"Scheiderich2015" 139.016666666667 71.1 10 "L1" 1.53 73 25.7 8.82 2.70550737528723 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 139.016666666667 71.1 10 "L1" 1.47 64 25.7 8.82 2.37195167148469 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 139.016666666667 71.1 300 "L1" 1.19 133 34.66 6.42 4.92921206730413 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 139.016666666667 71.1 1500 "L1" 1.08 145 34.91 6.79 5.37395300570751 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 10 "L1.1" 1.47 74 25.32 8.83 2.74256912015418 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 50 "L1.1" 1.47 80 29.93 NA 2.96493958935587 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 50 "L1.1" 1.49 79 29.93 NA 2.92787784448892 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 100 "L1.1" 1.55 102 31.83 NA 3.78029797642873 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 200 "L1.1" 1.35 113 33.6 6.11 4.18797716996516 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 250 "L1.1" 1.2 144 34.37 6.51 5.33689126084056 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 400 "L1.1" 1.17 150 34.8 6.63 5.55926173004225 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 1000 "L1.1" 1.05 153 34.87 6.75 5.6704469646431 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 1000 "L1.1" 1.09 141 34.87 6.75 5.22570602623972 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 2000 "L1.1" 1.06 154 34.93 6.45 5.70750870951004 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 2400 "L1.1" 1.05 163 34.94 6.28 6.04106441331258 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 136.683333333333 72.5166666666667 2400 "L1.1" 0.99 155 34.94 6.28 5.74457045437699 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
